"행정구역별(읍면동)",2015,2016,2017,2018,2019,2020,2021,2022
"행정구역별(읍면동)",총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명)
"남원시",80499,80076,79282,78487,77690,78097,76551,75259
"김제시",84269,82888,82358,81410,80422,79733,77998,78277
"완주군",95357,97340,98528,98002,96212,95834,95029,94771
"진안군",22886,22847,22998,23306,23013,23380,22760,22645
"무주군",23408,23129,23195,23058,22852,22678,22305,22296
"장수군",21620,21607,21395,21281,21267,20879,20335,20036
"임실군",25935,26229,26409,26377,26144,26075,24997,24922
"순창군",26707,26814,27017,27136,26642,26598,25483,25279
"고창군",55665,55326,54947,54425,53260,52608,51180,50784
"부안군",52091,51855,51249,50501,49733,49326,47756,47372
"전라남도",1799044,1796017,1792319,1790352,1787543,1788807,1778124,1771431
"목포시",239524,237484,233948,231798,228876,224509,221178,219625
"여수시",273761,273925,271741,270947,270283,271505,268687,268139
"순천시",265390,266519,266809,268284,270202,272449,273827,272085
"나주시",92582,98221,105579,109862,112101,113293,115138,114785
"광양시",144414,144364,144010,144027,143656,143928,144226,145926
"담양군",43634,43519,43781,43749,43804,44201,44034,43572
"곡성군",28617,28718,28768,28116,27858,27349,26781,26454
"구례군",24595,24278,24420,24246,23836,23907,23543,23165
"고흥군",62477,61690,60984,60664,60332,60045,58873,58630
"보성군",40688,40125,39942,39373,38339,37888,36981,36244
"화순군",61380,61018,60566,60040,59671,60247,60136,59822
"장흥군",36890,36481,36275,35875,35494,35273,34268,33638
"강진군",35126,34102,33637,33298,32805,32778,31941,31476
"해남군",69237,68342,67123,66209,65175,65223,63242,62360
"영암군",61535,60329,57679,57175,57476,57076,55998,56287
"무안군",80521,81280,81420,81324,81789,84637,90094,90630
"함평군",31367,30829,30948,30600,30556,30156,29369,29048
"영광군",51007,49992,49670,49570,50004,50196,48981,49323
"장성군",42058,41159,41663,41850,42193,41443,40604,40266
"완도군",48468,48349,48332,48340,48366,48269,47210,46863
"진도군",29538,29504,29432,29366,29295,29297,29013,28945
"신안군",36235,35789,35592,35639,35432,35138,34000,34148
"경상북도",2680294,2682169,2677058,2672902,2668154,2644757,2635314,2620373
"포항시",511804,510360,506909,504382,502064,501109,501251,496608
