"행정구역","2022년_거주자_총인구수","2022년_거주자_연령구간인구수","2022년_거주자_0~9세","2022년_거주자_10~19세","2022년_거주자_20~29세","2022년_거주자_30~39세","2022년_거주자_40~49세","2022년_거주자_50~59세","2022년_거주자_60~69세","2022년_거주자_70~79세","2022년_거주자_80~89세","2022년_거주자_90~99세","2022년_거주자_100세 이상","2022년_남_거주자_총인구수","2022년_남_거주자_연령구간인구수","2022년_남_거주자_0~9세","2022년_남_거주자_10~19세","2022년_남_거주자_20~29세","2022년_남_거주자_30~39세","2022년_남_거주자_40~49세","2022년_남_거주자_50~59세","2022년_남_거주자_60~69세","2022년_남_거주자_70~79세","2022년_남_거주자_80~89세","2022년_남_거주자_90~99세","2022년_남_거주자_100세 이상","2022년_여_거주자_총인구수","2022년_여_거주자_연령구간인구수","2022년_여_거주자_0~9세","2022년_여_거주자_10~19세","2022년_여_거주자_20~29세","2022년_여_거주자_30~39세","2022년_여_거주자_40~49세","2022년_여_거주자_50~59세","2022년_여_거주자_60~69세","2022년_여_거주자_70~79세","2022년_여_거주자_80~89세","2022년_여_거주자_90~99세","2022년_여_거주자_100세 이상"
"경기도 송탄출장소 (4122200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 안중출장소 (4122400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 동두천시 (4125000000)","90,866","90,866","5,293","8,191","10,355","9,404","13,019","16,068","14,451","8,410","5,049","612","14","45,323","45,323","2,726","4,135","5,574","4,974","6,669","8,484","7,161","3,599","1,838","160","3","45,543","45,543","2,567","4,056","4,781","4,430","6,350","7,584","7,290","4,811","3,211","452","11"
"경기도 안산시 (4127000000)","637,719","637,719","38,435","58,699","99,444","83,504","98,426","125,040","84,244","31,334","16,143","2,395","55","326,489","326,489","19,661","30,200","52,926","45,589","50,829","62,898","44,091","14,357","5,413","518","7","311,230","311,230","18,774","28,499","46,518","37,915","47,597","62,142","40,153","16,977","10,730","1,877","48"
"경기도 안산시 상록구 (4127100000)","342,450","342,450","19,928","31,801","54,704","43,041","52,271","67,900","44,787","17,309","9,311","1,369","29","174,456","174,456","10,191","16,297","29,085","23,424","26,767","34,069","23,413","7,777","3,112","319","2","167,994","167,994","9,737","15,504","25,619","19,617","25,504","33,831","21,374","9,532","6,199","1,050","27"
"경기도 안산시 단원구 (4127300000)","295,269","295,269","18,507","26,898","44,740","40,463","46,155","57,140","39,457","14,025","6,832","1,026","26","152,033","152,033","9,470","13,903","23,841","22,165","24,062","28,829","20,678","6,580","2,301","199","5","143,236","143,236","9,037","12,995","20,899","18,298","22,093","28,311","18,779","7,445","4,531","827","21"
"경기도 고양시 (4128000000)","1,070,080","1,070,080","73,858","100,866","139,737","142,417","171,568","195,770","139,852","62,729","37,624","5,516","143","522,415","522,415","37,533","51,466","71,148","71,077","83,456","95,252","69,991","27,351","13,656","1,450","35","547,665","547,665","36,325","49,400","68,589","71,340","88,112","100,518","69,861","35,378","23,968","4,066","108"
"경기도 고양시 덕양구 (4128100000)","487,629","487,629","36,443","41,487","60,245","70,926","78,096","84,010","65,338","31,283","17,383","2,363","55","240,017","240,017","18,514","21,155","30,756","35,673","39,289","41,522","32,372","13,751","6,388","584","13","247,612","247,612","17,929","20,332","29,489","35,253","38,807","42,488","32,966","17,532","10,995","1,779","42"
"경기도 고양시 일산동구 (4128500000)","293,898","293,898","18,550","28,218","41,059","37,548","47,180","56,055","38,109","15,745","9,791","1,601","42","142,643","142,643","9,457","14,419","20,650","18,623","22,382","26,998","19,292","6,905","3,488","417","12","151,255","151,255","9,093","13,799","20,409","18,925","24,798","29,057","18,817","8,840","6,303","1,184","30"
"경기도 고양시 일산서구 (4128700000)","288,553","288,553","18,865","31,161","38,433","33,943","46,292","55,705","36,405","15,701","10,450","1,552","46","139,755","139,755","9,562","15,892","19,742","16,781","21,785","26,732","18,327","6,695","3,780","449","10","148,798","148,798","9,303","15,269","18,691","17,162","24,507","28,973","18,078","9,006","6,670","1,103","36"
"경기도 과천시 (4129000000)","77,600","77,600","7,302","7,485","9,724","11,565","11,821","12,868","9,887","4,285","2,241","414","8","38,169","38,169","3,778","3,844","5,005","5,712","5,814","6,197","4,867","1,973","865","111","3","39,431","39,431","3,524","3,641","4,719","5,853","6,007","6,671","5,020","2,312","1,376","303","5"
"경기도 구리시 (4131000000)","187,795","187,795","12,729","17,050","24,271","24,187","30,384","34,109","26,777","11,998","5,583","690","17","92,932","92,932","6,575","8,753","12,424","12,244","15,215","16,649","13,328","5,417","2,136","187","4","94,863","94,863","6,154","8,297","11,847","11,943","15,169","17,460","13,449","6,581","3,447","503","13"
"경기도 남양주시 (4136000000)","733,723","733,723","59,351","79,417","83,854","88,067","131,118","123,750","94,227","48,244","22,546","3,043","106","364,274","364,274","30,516","40,833","43,575","43,707","65,243","62,787","46,118","22,053","8,718","709","15","369,449","369,449","28,835","38,584","40,279","44,360","65,875","60,963","48,109","26,191","13,828","2,334","91"
"경기도 풍양출장소 (4136200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 오산시 (4137000000)","228,987","228,987","19,815","25,337","29,822","35,804","44,356","34,692","23,272","10,450","4,834","595","10","119,098","119,098","10,081","13,072","16,234","19,753","23,613","18,143","11,555","4,699","1,814","133","1","109,889","109,889","9,734","12,265","13,588","16,051","20,743","16,549","11,717","5,751","3,020","462","9"
"경기도 시흥시 (4139000000)","510,683","510,683","45,118","51,012","66,237","75,569","92,226","89,709","57,544","21,211","10,488","1,521","48","266,387","266,387","22,854","26,148","36,048","40,564","49,757","46,771","30,522","9,870","3,546","298","9","244,296","244,296","22,264","24,864","30,189","35,005","42,469","42,938","27,022","11,341","6,942","1,223","39"
"경기도 군포시 (4141000000)","265,077","265,077","17,229","24,828","35,090","36,910","40,968","46,613","37,926","15,644","8,504","1,323","42","131,522","131,522","8,857","12,844","18,318","19,491","20,219","22,712","18,459","7,184","3,075","356","7","133,555","133,555","8,372","11,984","16,772","17,419","20,749","23,901","19,467","8,460","5,429","967","35"
"경기도 의왕시 (4143000000)","159,511","159,511","11,938","13,719","21,020","22,190","23,341","28,314","24,010","9,503","4,669","786","21","79,052","79,052","6,110","7,083","11,037","11,344","11,723","13,520","11,779","4,558","1,719","177","2","80,459","80,459","5,828","6,636","9,983","10,846","11,618","14,794","12,231","4,945","2,950","609","19"
"경기도 하남시 (4145000000)","324,843","324,843","32,133","30,247","36,897","52,312","59,509","46,575","40,153","18,807","7,042","1,131","37","162,128","162,128","16,407","15,332","18,467","26,100","30,722","23,452","19,416","9,350","2,650","227","5","162,715","162,715","15,726","14,915","18,430","26,212","28,787","23,123","20,737","9,457","4,392","904","32"
"경기도 용인시 (4146000000)","1,069,925","1,069,925","87,471","120,975","134,314","135,596","193,136","175,348","117,124","67,748","33,406","4,672","135","530,736","530,736","44,728","61,869","70,264","67,701","94,905","88,625","56,779","30,261","14,270","1,307","27","539,189","539,189","42,743","59,106","64,050","67,895","98,231","86,723","60,345","37,487","19,136","3,365","108"
"경기도 용인시 처인구 (4146100000)","258,351","258,351","18,391","24,847","33,414","32,294","42,752","44,225","35,546","17,083","8,471","1,299","29","132,555","132,555","9,493","12,823","18,229","17,367","22,427","22,832","17,977","7,949","3,168","286","4","125,796","125,796","8,898","12,024","15,185","14,927","20,325","21,393","17,569","9,134","5,303","1,013","25"
"경기도 용인시 기흥구 (4146300000)","436,228","436,228","35,886","50,624","55,691","54,037","80,035","71,851","45,369","27,187","13,581","1,901","66","215,151","215,151","18,371","25,881","29,170","26,807","38,848","36,081","21,617","11,927","5,874","557","18","221,077","221,077","17,515","24,743","26,521","27,230","41,187","35,770","23,752","15,260","7,707","1,344","48"
"경기도 용인시 수지구 (4146500000)","375,346","375,346","33,194","45,504","45,209","49,265","70,349","59,272","36,209","23,478","11,354","1,472","40","183,030","183,030","16,864","23,165","22,865","23,527","33,630","29,712","17,185","10,385","5,228","464","5","192,316","192,316","16,330","22,339","22,344","25,738","36,719","29,560","19,024","13,093","6,126","1,008","35"
